1183810:
 num     #instances         #bytes  class name (module)
 207:          1555          37320  com.mojang.serialization.MapCodec$5 (datafixerupper@6.0.8)
 208:          1555          37320  net.minecraft.world.level.block.state.StateDefinition$$Lambda$1487/0x0000000800725ef0 (minecraft@1.20.1)
 209:             2          36480  org.lwjgl.opengl.GLCapabilities (org.lwjgl.opengl@3.3.1+7)
 210:           905          36200  com.mojang.datafixers.types.templates.Check$CheckType (datafixerupper@6.0.8)
 211:          1126          36032  org.openjdk.nashorn.internal.runtime.PropertyHashMap$Element (org.openjdk.nashorn)
 212:          1474          35376  net.minecraft.sounds.SoundEvent (minecraft@1.20.1)
 213:          1472          35328  net.minecraft.client.sounds.WeighedSoundEvents (minecraft@1.20.1)
 214:          1099          35168  com.mojang.datafixers.types.Func (datafixerupper@6.0.8)
 215:          1099          35168  cpw.mods.modlauncher.TransformTargetLabel (cpw.mods.modlauncher@10.0.9)
 216:          1461          35064  java.lang.invoke.LambdaForm$NamedFunction (java.base@17.0.15)
 217:          1440          34560  java.util.ImmutableCollections$List12 (java.base@17.0.15)
 218:           617          34552  org.openjdk.nashorn.internal.runtime.ScriptFunction (org.openjdk.nashorn)
 219:          1416          33984  com.mojang.serialization.Decoder$5 (datafixerupper@6.0.8)
 220:          1043          33376  java.lang.invoke.MethodTypeForm (java.base@17.0.15)
 221:          1014          32448  java.util.Locale (java.base@17.0.15)
 222:          1012          32384  sun.util.locale.BaseLocale (java.base@17.0.15)
 223:           483          32264  [Ljava.lang.reflect.Method; (java.base@17.0.15)
 224:          1008          32256  java.util.LinkedList (java.base@17.0.15)
 225:           806          32240  org.apache.maven.artifact.versioning.DefaultArtifactVersion (maven.artifact@3.8.5)
 226:          1342          32208  org.apache.maven.artifact.versioning.ComparableVersion$ListItem (maven.artifact@3.8.5)
 227:          1330          31920  com.google.common.collect.ImmutableEntry (com.google.common@31.1-jre)
 228:           993          31776  sun.util.locale.BaseLocale$Key (java.base@17.0.15)
 229:           793          31720  java.io.FileDescriptor (java.base@17.0.15)
